initial_cash,final_equity,total_return_pct,benchmark_equal_weight_return_pct,alpha_vs_equal_weight_pct,max_drawdown_pct,sharpe_ratio,trades,avg_holding_days,win_rate_pct,profit_factor,total_fees,guardrail_triggered,holding_days,stop_loss_pct,take_profit_pct,max_position_fraction,cooldown_days,max_drawdown_stop_pct,score,stop_loss_exits,take_profit_exits,time_exits
200.0,233.99299067630005,16.99649533815002,437.16763547176214,-420.17114013361214,-12.632389637568831,0.41444579658841246,74.0,74.48648648648648,63.51351351351351,1.4214683662535015,26.990933000000002,False,90,0.0,0.2,0.1,20,0.3,11.059998291240905,0,27,47
200.0,245.48630828872302,22.743154144361522,369.87262405273054,-347.129469908369,-21.04397625279382,0.3064869221672008,60.0,90.0,55.00000000000001,1.4004127829713677,31.190494,False,90,0.0,0.0,0.15,40,0.0,10.602711169622996,0,0,60
200.0,245.48630828872302,22.743154144361522,369.87262405273054,-347.129469908369,-21.04397625279382,0.3064869221672008,60.0,90.0,55.00000000000001,1.4004127829713677,31.190494,False,90,0.0,0.0,0.15,40,0.3,10.602711169622996,0,0,60
200.0,227.53191484437562,13.765957422187803,369.87262405273054,-356.10666663054275,-10.050276263437219,0.3547045724975149,63.0,74.6984126984127,63.49206349206349,1.3825950343366815,22.265394,False,90,0.0,0.2,0.1,40,0.0,10.137955696293297,0,23,40
200.0,227.53191484437562,13.765957422187803,369.87262405273054,-356.10666663054275,-10.050276263437219,0.3547045724975149,63.0,74.6984126984127,63.49206349206349,1.3825950343366815,22.265394,False,90,0.0,0.2,0.1,40,0.2,10.137955696293297,0,23,40
200.0,227.53191484437562,13.765957422187803,369.87262405273054,-356.10666663054275,-10.050276263437219,0.3547045724975149,63.0,74.6984126984127,63.49206349206349,1.3825950343366815,22.265394,False,90,0.0,0.2,0.1,40,0.3,10.137955696293297,0,23,40
200.0,232.78720313447954,16.39360156723977,369.87262405273054,-353.47902248549076,-12.425205809624352,0.37846160240959303,86.0,74.79069767441861,60.46511627906976,1.330331137667976,30.673885,False,90,0.0,0.2,0.1,0,0.0,9.612658648361387,0,30,56
200.0,232.78720313447954,16.39360156723977,369.87262405273054,-353.47902248549076,-12.425205809624352,0.37846160240959303,86.0,74.79069767441861,60.46511627906976,1.330331137667976,30.673885,False,90,0.0,0.2,0.1,0,0.2,9.612658648361387,0,30,56
200.0,232.78720313447954,16.39360156723977,369.87262405273054,-353.47902248549076,-12.425205809624352,0.37846160240959303,86.0,74.79069767441861,60.46511627906976,1.330331137667976,30.673885,False,90,0.0,0.2,0.1,0,0.3,9.612658648361387,0,30,56
200.0,245.91346687509918,22.95673343754958,369.87262405273054,-346.91589061518096,-22.346137988939752,0.27446096844435036,81.0,90.0,53.086419753086425,1.2975286564664656,43.010276,False,90,0.0,0.0,0.15,0,0.0,8.104259428177093,0,0,81
200.0,245.91346687509918,22.95673343754958,369.87262405273054,-346.91589061518096,-22.346137988939752,0.27446096844435036,81.0,90.0,53.086419753086425,1.2975286564664656,43.010276,False,90,0.0,0.0,0.15,0,0.3,8.104259428177093,0,0,81
200.0,232.95140189609913,16.475700948049553,369.87262405273054,-353.396923104681,-17.17615485773947,0.2986380517894473,62.0,75.41935483870968,61.29032258064516,1.3028059598548833,32.253071,False,90,0.0,0.2,0.15,40,0.0,6.634961054019368,0,22,40
200.0,232.95140189609913,16.475700948049553,369.87262405273054,-353.396923104681,-17.17615485773947,0.2986380517894473,62.0,75.41935483870968,61.29032258064516,1.3028059598548833,32.253071,False,90,0.0,0.2,0.15,40,0.2,6.634961054019368,0,22,40
200.0,232.95140189609913,16.475700948049553,369.87262405273054,-353.396923104681,-17.17615485773947,0.2986380517894473,62.0,75.41935483870968,61.29032258064516,1.3028059598548833,32.253071,False,90,0.0,0.2,0.15,40,0.3,6.634961054019368,0,22,40
200.0,236.8240711426468,18.412035571323404,369.87262405273054,-351.4605884814071,-18.393689097696907,0.30485326571782045,83.0,75.10843373493977,59.036144578313255,1.2473046470526432,44.107302999999995,False,90,0.0,0.2,0.15,0,0.0,6.15792683331394,0,28,55
200.0,236.8240711426468,18.412035571323404,369.87262405273054,-351.4605884814071,-18.393689097696907,0.30485326571782045,83.0,75.10843373493977,59.036144578313255,1.2473046470526432,44.107302999999995,False,90,0.0,0.2,0.15,0,0.2,6.15792683331394,0,28,55
200.0,236.8240711426468,18.412035571323404,369.87262405273054,-351.4605884814071,-18.393689097696907,0.30485326571782045,83.0,75.10843373493977,59.036144578313255,1.2473046470526432,44.107302999999995,False,90,0.0,0.2,0.15,0,0.3,6.15792683331394,0,28,55
200.0,248.19397456896212,24.096987284481063,369.4617924651196,-345.3648051806385,-28.02497213612091,0.25583496939681155,58.0,90.0,53.44827586206896,1.3181622852103165,39.88022599999999,False,90,0.0,0.0,0.2,40,0.0,5.935058308441966,0,0,58
200.0,248.19397456896212,24.096987284481063,369.4617924651196,-345.3648051806385,-28.02497213612091,0.25583496939681155,58.0,90.0,53.44827586206896,1.3181622852103165,39.88022599999999,False,90,0.0,0.0,0.2,40,0.3,5.935058308441966,0,0,58
200.0,239.89734391869354,19.948671959346775,369.4617924651196,-349.5131205057728,-23.515524881358985,0.26439031346359404,80.0,74.4625,58.75,1.202421097416632,56.077737,False,90,0.0,0.2,0.2,0,0.0,3.1202469354106976,0,28,52
